"International inbound tourists (thousands)"
"24","Slovenia","732","","1090","","1555","","1869","","2037","","2156","","2259","","2411","","2707","","3032","","3586",""
"153","Solomon Islands","12","","5","","9","","21","","23","","24","","24","","20","","22","","23","","26",""
"113","South Africa","4488","","5872","","7369","","8074","","8339","","9188","","9537","","9549","","8904","","10044","","10285",""
"25","Spain","32971","","46403","","55914","","52677","","56177","","57464","","60675","","64939","","68175","","75315","","81786",""
"71","Sri Lanka","403","","400","","549","","654","","856","","1006","","1275","","1527","","1798","","2051","","2116",""
"168","Sudan","29","","38","","246","","495","","536","","575","","591","","684","","741","","800","","813",""
"98","Suriname","43","","57","","161","","205","","220","","240","","249","","252","","228","","256","","278",""
"8","Sweden","2310","","3828","","4883","","5183","","5222","","5146","","5229","","5660","","6482","","6782","","7054",""
"2","Switzerland","6946","","7821","","7229","","8628","","8534","","8566","","8967","","9158","","9305","","9205","","9889",""
"154","Syrian Arab Republic","815","","2100","","3571","","8546","","5070","","..","","..","","..","","..","","..","","..",""
"125","Tajikistan","..","","8","","..","","160","","183","","244","","208","","213","","414","","344","","431",""
"159","Tanzania (United Republic of)","285","","459","","590","","754","","843","","1043","","1063","","1113","","1104","","1233","","1275",""
"77","Thailand","6952","","9579","","11567","","15936","","19230","","22354","","26547","","24810","","29923","","32530","","35592",""
"131","Timor-Leste","..","","..","","..","","40","","51","","58","","79","","60","","62","","66","","74",""
"167","Togo","53","","60","","81","","202","","300","","235","","327","","282","","273","","338","","496",""
"105","Tonga","29","","35","","42","","47","","46","","47","","48","","50","","54","","59","","63",""
"63","Trinidad and Tobago","260","","399","","463","","388","","431","","455","","434","","412","","440","","409","","395",""
"91","Tunisia","4120","","5058","","6378","","7828","","5746","","6999","","7352","","7163","","5359","","5724","","7052",""
"59","Turkey","7083","","9586","","20273","","31364","","34654","","35698","","37795","","39811","","39478","","30289","","37601",""
"108","Turkmenistan","218","","3","","12","","..","","..","","..","","..","","..","","..","","..","","..",""
"..","Tuvalu","1","","1","","1","","2","","1","","1","","1","","1","","2","","3","","3",""
"159","Uganda","160","","193","","468","","946","","1151","","1197","","1206","","1266","","1303","","1323","","1402",""
"88","Ukraine","3716","","6431","","17631","","21203","","21415","","23013","","24671","","12712","","12428","","13333","","14230",""
"35","United Arab Emirates","2315","","3907","","7126","","..","","..","","..","","..","","..","","..","","..","","..",""
"15","United Kingdom","21719","","23212","","28039","","28295","","29306","","29282","","31063","","32613","","34436","","35814","","37651",""
"15","United States","43318","","51238","","49206","","60010","","62821","","66657","","69995","","75022","","77774","","76407","","76941",""
"57","Uruguay","2022","","1968","","1808","","2353","","2857","","2695","","2683","","2682","","2773","","3037","","3674",""
"108","Uzbekistan","92","","302","","242","","975","","..","","..","","1969","","1862","","1918","","2027","","2690",""
"141","Vanuatu","44","","58","","62","","97","","94","","108","","110","","109","","90","","95","","109",""
"96","Venezuela (Bolivarian Republic of)","700","","469","","706","","526","","595","","988","","986","","857","","789","","601","","427",""
"118","Viet Nam","1351","","2140","","3477","","5050","","6014","","6848","","7572","","7874","","7944","","10013","","12922",""
"177","Yemen","61","","73","","336","","1025","","829","","874","","990","","1018","","367","","..","","..",""
"143","Zambia","163","","457","","669","","815","","920","","859","","915","","947","","932","","956","","1083",""
"150","Zimbabwe","1416","","1967","","1559","","2239","","2423","","1794","","1833","","1880","","2057","","2168","","2423",""
"170","Afghanistan","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"144","Equatorial Guinea","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"176","Liberia","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"186","South Sudan","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"","Human Development"," ","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Very high human development","387859","","511031","","577537","","644028","","676672","","712039","","748323","","791697","","822668","","848479","","898955",""
" ","High human development","86004","","117776","","165006","","207387","","208736","","225508","","235011","","230953","","241422","","252852","","275830",""
" ","Medium human development","12506","","19450","","28149","","43884","","48974","","51381","","55220","","62698","","65558","","66901","","74013",""
" ","Low human development","3957","","6026","","10256","","20507","","17361","","12868","","13558","","13851","","15539","","16605","","13584",""
" ","Developing Countries","139927","","195151","","285457","","381190","","390247","","417734","","436796","","447645","","460379","","477027","","513306",""
"","Regions"," ","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Arab States","21236","","35647","","53771","","77919","","65300","","67101","","66851","","70140","","65718","","63283","","68133",""
" ","East Asia and the Pacific","49118","","68143","","97151","","127791","","137115","","144355","","151867","","154639","","163397","","172357","","184194",""
" ","Europe and Central Asia","11854","","19276","","46459","","67791","","75338","","87805","","96155","","85240","","85158","","84409","","98429",""
" ","Latin America and the Caribbean","41451","","49634","","57730","","65774","","69552","","72108","","73612","","82127","","88612","","95738","","104733",""
" ","South Asia","4312","","6086","","8147","","12014","","13568","","14375","","15199","","21855","","22247","","23812","","25111",""
" ","Sub-Saharan Africa","11956","","16365","","22200","","29902","","29374","","31990","","33111","","33645","","35247","","37427","","32706",""
" ","Least Developed Countries","3680","","5383","","9928","","17343","","19285","","21475","","24206","","26732","","28080","","26726","","26842",""
" ","Small Island Developing States","17020","","21808","","27521","","37227","","34225","","36957","","39295","","41576","","42555","","45024","","48450",""
" ","Organization for Economic Co-operation and Development","355303","","440327","","478205","","521680","","545475","","563725","","592155","","630273","","664177","","687370","","738749",""
" ","World","490588","","654627","","781285","","916206","","952196","","1002228","","1052513","","1099605","","1145574","","1185236","","1262817",""
""
